Contact ID,Team Member ID,Role,Team: Team ID,Program Cohort: Program Cohort Name,Start Date,Gender,"Hispanic, Latino, or Spanish origin",Race - American Indian or Alaska Native,Race - Asian,Race - Black or African American,Race - Hawaiian or Other Pac. Islander,Race - Other,Race - White
0033n00002p1p4U,TM-173198,Team Member,a263n000006Ob2t,"Ascend Energy & Mobility Accelerator 2023, powered by VentureWell and EPIC",8/22/23,Another identity,Prefer not to answer,1,0,0,1,1,1
0033n00002p21Ak,TM-176095,Team Lead,a263n000006OdhE,"Ascend Energy & Mobility Accelerator 2023, powered by VentureWell and EPIC",8/22/23,,Yes,1,0,0,0,0,1
0033n00002nSOtz,TM-172480,Team Member,a263n000006aaRx,E-Team Stage 2 Summer 2023 Cohort,8/10/23,Female,Prefer not to answer,1,0,0,1,1,0
0033n00002fFOS8,TM-172481,Team Lead,a263n000002CzN3,E-Team Stage 2 Summer 2023 Cohort,8/10/23,Prefer not to answer,,1,1,1,0,0,1
0033n00002fdEhg,TM-172482,Team Lead,a263n000002D7QV,E-Team Stage 2 Summer 2023 Cohort,8/10/23,Another identity,No,0,1,0,0,0,1
0033n00002mOqfc,TM-172483,Team Lead,a263n000006Np1P,E-Team Stage 2 Summer 2023 Cohort,8/10/23,Prefer not to answer,No,0,1,0,0,1,0
0033n00002p1Rmq,TM-172484,Team Lead,a263n000006BJYy,E-Team Stage 2 Summer 2023 Cohort,8/10/23,Female,Prefer not to answer,0,1,1,0,1,1
0033n00002p1S7g,TM-172485,Team Member,a263n000006BJYy,E-Team Stage 2 Summer 2023 Cohort,8/10/23,Prefer not to answer,Yes,1,0,0,0,1,1
0033n00002h6Zue,TM-172486,Team Lead,a263n000006BJY4,E-Team Stage 2 Summer 2023 Cohort,8/10/23,Another identity,Prefer not to answer,0,0,1,0,0,1
0033n00002mOgT0,TM-172487,Team Member,a263n000006BJY4,E-Team Stage 2 Summer 2023 Cohort,8/10/23,Male,,0,1,1,1,0,1
0033n00002nTDfY,TM-172488,Team Member,a263n000006Np1P,E-Team Stage 2 Summer 2023 Cohort,8/10/23,,,1,1,0,0,0,1
0033n00002fbhsx,TM-172489,Team Member,a263n000002CzN3,E-Team Stage 2 Summer 2023 Cohort,8/10/23,Prefer not to answer,Prefer not to answer,0,1,1,1,0,1
0033n00002eNaWW,TM-172490,Team Lead,a263n000002D7QV,E-Team Stage 2 Summer 2023 Cohort,8/10/23,Male,Yes,1,0,1,0,0,1
0033n00002fbRDq,TM-172491,Team Member,a263n000006BJTn,E-Team Stage 2 Summer 2023 Cohort,8/10/23,Another identity,Yes,0,1,0,1,1,1
0033n00002fbWbP,TM-172492,Team Lead,a263n000006BJTn,E-Team Stage 2 Summer 2023 Cohort,8/10/23,,No,0,0,1,1,1,0
0033n00002nS9Ta,TM-172493,Team Lead,a263n000006aaRx,E-Team Stage 2 Summer 2023 Cohort,8/10/23,Female,Prefer not to answer,1,0,1,0,0,1
0033n00002p1fh0,TM-172494,Team Member,a263n000006BJTn,E-Team Stage 2 Summer 2023 Cohort,8/10/23,Male,Prefer not to answer,1,1,0,0,1,0
0033n00002nTfnA,TM-172290,Team Lead,a263n000006OA7s,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Male,Yes,1,0,0,1,1,0
0033n00002p0olP,TM-172291,Team Member,a263n000006NuRF,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Female,Yes,0,0,1,1,0,1
0033n00002mOAav,TM-172292,Team Lead,a263n000006NuRF,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Male,Yes,0,0,1,1,0,0
0033n00002nTQ6H,TM-172293,Team Member,a263n000006NuRF,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Male,Yes,1,1,1,0,1,1
0033n00002mOpUM,TM-172294,Team Lead,a263n000006No7r,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Prefer not to answer,Prefer not to answer,1,1,0,0,0,0
0033n00002nV1j8,TM-172295,Team Member,a263n000006O9uA,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Prefer not to answer,Prefer not to answer,1,1,1,1,1,0
0033n00002p0r0r,TM-172296,Team Lead,a263n000006O9ut,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Male,Yes,1,1,0,1,0,1
0033n00002p0nHf,TM-172297,Team Member,a263n000006auwd,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Another identity,Prefer not to answer,1,0,1,0,0,1
0033n00002ngusz,TM-172298,Team Lead,a263n000006OBKb,E-Team Stage 1 Summer 2023 Cohort,7/27/23,,Prefer not to answer,0,1,1,1,1,0
0033n00002nguo8,TM-172299,Team Lead,a263n000006OBKb,E-Team Stage 1 Summer 2023 Cohort,7/27/23,,,0,1,1,1,1,1
0033n00002ngur8,TM-172300,Team Member,a263n000006O9vm,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Prefer not to answer,,1,0,1,1,0,1
0033n00002nh9XQ,TM-172301,Team Lead,a263n000006O9vm,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Female,Yes,0,0,1,0,0,0
0033n00002nh195,TM-172302,Team Member,a263n000006O9vm,E-Team Stage 1 Summer 2023 Cohort,7/27/23,,No,1,1,1,0,0,0
0033n00002nV1nA,TM-172303,Team Lead,a263n000006O9uA,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Prefer not to answer,Prefer not to answer,1,1,1,0,0,0
0033n00002nVBVk,TM-172304,Team Member,a263n000006OBVF,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Male,No,0,0,1,0,0,1
0033n00002nV2IS,TM-172305,Team Lead,a263n000006OByv,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Prefer not to answer,No,1,0,0,0,1,0
0033n00002nVEfn,TM-172306,Team Member,a263n000006OByv,E-Team Stage 1 Summer 2023 Cohort,7/27/23,,No,1,1,1,1,0,0
0033n00002gUnjz,TM-172307,Team Lead,a263n000006aarz,E-Team Stage 1 Summer 2023 Cohort,7/27/23,,Yes,1,0,0,1,0,0
0033n00002nepto,TM-172308,Team Member,a263n000006aarz,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Male,No,1,0,1,1,1,0
0033n00002p11Q1,TM-172309,Team Member,a263n000006OA7s,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Another identity,,1,1,0,0,1,0
0033n00002p12nj,TM-172310,Team Member,a263n000006OAMi,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Another identity,,1,1,0,1,1,0
0033n00002nV4ul,TM-172311,Team Member,a263n000006OAMi,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Another identity,Yes,1,0,1,0,0,0
0033n00002nV2yX,TM-172312,Team Lead,a263n000006OAMi,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Female,No,0,0,1,1,0,1
0033n00002SnCnD,TM-172313,Team Lead,a263n000006OByH,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Another identity,No,0,1,1,1,0,0
0033n00002nVEco,TM-172314,Team Member,a263n000006OByH,E-Team Stage 1 Summer 2023 Cohort,7/27/23,,Prefer not to answer,0,0,0,1,1,0
0033n00002nh12z,TM-172315,Team Lead,a263n000006OBz5,E-Team Stage 1 Summer 2023 Cohort,7/27/23,,,1,1,1,1,1,1
0033n00002nVEh5,TM-172316,Team Member,a263n000006OBz5,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Prefer not to answer,,1,0,1,1,0,0
0033n00002nU7hB,TM-172279,Team Lead,a263n000006OB0C,E-Team Stage 1 Summer 2023 Cohort,7/27/23,,Prefer not to answer,1,0,1,0,1,1
0033n00002p0cGT,TM-172280,Team Lead,a263n000006O9ut,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Male,,0,1,1,0,1,1
0033n00002nUavn,TM-172281,Team Lead,a263n000006OD3q,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Another identity,Prefer not to answer,0,1,0,0,0,0
0033n00002p0dCq,TM-172282,Team Member,a263n000006OD3q,E-Team Stage 1 Summer 2023 Cohort,7/27/23,,Yes,0,0,1,1,1,1
0033n00002p0hAt,TM-172283,Team Member,a263n000006OBzj,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Prefer not to answer,,0,1,0,1,1,0
0033n00002nVBNB,TM-172284,Team Lead,a263n000006OBVF,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Another identity,Yes,0,0,1,0,1,1
0033n00002nVBVu,TM-172285,Team Member,a263n000006OBVF,E-Team Stage 1 Summer 2023 Cohort,7/27/23,,Yes,1,0,1,1,1,0
0033n00002WUEXB,TM-172286,Team Lead,a263n000006OBzj,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Male,No,0,0,0,0,1,1
0033n00002nSRjC,TM-172287,Team Lead,a263n000006auwd,E-Team Stage 1 Summer 2023 Cohort,7/27/23,,No,1,0,0,0,0,0
0033n00002nV8Ht,TM-172288,Team Member,a263n000006OB0C,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Prefer not to answer,,0,1,0,0,1,1
0033n00002mOpUq,TM-172289,Team Member,a263n000006No7r,E-Team Stage 1 Summer 2023 Cohort,7/27/23,Male,Yes,1,1,0,0,1,1
0033n00002nTgLY,TM-167669,Team Lead,a263n000005YNXY,ASPIRE Climatetech Spring 2023,5/22/23,Male,Yes,1,0,1,1,1,0
0033n00002gWdJS,TM-167670,Team Lead,a263n000005YVmD,ASPIRE Climatetech Spring 2023,5/22/23,Another identity,Prefer not to answer,1,0,0,1,0,1
0033n00002nUcC3,TM-167671,Team Member,a263n000005YVmD,ASPIRE Climatetech Spring 2023,5/22/23,Female,Prefer not to answer,0,0,0,0,1,1
0033n00002nTxVZ,TM-167672,Team Lead,a263n000006O15U,ASPIRE Climatetech Spring 2023,5/22/23,Male,,1,0,0,1,1,0
0033n00002nSWtE,TM-167675,Team Member,a263n000006axCI,ASPIRE Climatetech Spring 2023,5/22/23,Another identity,No,1,1,0,1,0,1
0033n00002nSH6y,TM-167676,Team Member,a263n000006axCI,ASPIRE Climatetech Spring 2023,5/22/23,Another identity,Prefer not to answer,0,0,0,1,0,1
0033n00002eOPwH,TM-167678,Team Lead,a263n000005YSvp,ASPIRE Climatetech Spring 2023,5/22/23,Another identity,Prefer not to answer,1,0,1,0,1,0
0033n00002crAAa,TM-167679,Team Member,a2639000006H41J,ASPIRE Climatetech Spring 2023,5/22/23,Male,Prefer not to answer,1,1,1,0,1,1
0033n00002crAAb,TM-167680,Team Lead,a2639000006H41J,ASPIRE Climatetech Spring 2023,5/22/23,,,1,1,0,1,0,0
0033n00002YrDgb,TM-167681,Team Lead,a263n000006O163,ASPIRE Climatetech Spring 2023,5/22/23,Female,,1,0,0,1,0,1
0033n00002ngh8q,TM-167682,Team Lead,a263n000006bL5a,ASPIRE Climatetech Spring 2023,5/22/23,Male,Yes,1,0,0,0,1,1
0033n00002nTpPt,TM-167683,Team Lead,a263n000006O0bX,ASPIRE Climatetech Spring 2023,5/22/23,Female,No,1,1,1,0,0,0
0033n00002nTxVF,TM-167684,Team Lead,a263n000006axCI,ASPIRE Climatetech Spring 2023,5/22/23,Female,Yes,0,1,0,1,0,1
0033n00002XrvLJ,TM-167686,Team Lead,a263n000005YMIw,ASPIRE Climatetech Spring 2023,5/22/23,,,0,0,0,0,1,0
0033n00002nUxXW,TM-167687,Team Member,a263n000005YNXY,ASPIRE Climatetech Spring 2023,5/22/23,Female,Yes,1,1,1,1,0,1
0033n00002nTtlB,TM-167688,Team Lead,a263n000006O0cQ,ASPIRE Climatetech Spring 2023,5/22/23,Male,Prefer not to answer,1,0,1,1,1,0
0033n00002aAq82,TM-167690,Team Member,a263n000005YVmD,ASPIRE Climatetech Spring 2023,5/22/23,Another identity,Prefer not to answer,1,1,0,1,0,0
0033n00002nTfgQ,TM-167673,Team Lead,a263n000006O15Z,ASPIRE Climatetech Spring 2023,5/22/23,Male,Yes,0,1,0,0,0,0
0033n00002aAq7x,TM-167674,Team Member,a263n000005YVmD,ASPIRE Climatetech Spring 2023,5/22/23,Prefer not to answer,Yes,1,1,1,1,1,1
0033n00002jdoKj,TM-166547,Team Lead,a263n000006BJKF,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,,,1,0,1,1,0,0
0033n00002nTfR6,TM-166548,Team Member,a263n000006BJKF,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Female,No,0,1,1,0,1,1
0033n00002kKY8s,TM-166549,Team Lead,a263n000006auLv,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,,Prefer not to answer,0,0,0,0,1,0
0033n00002c4hrl,TM-166550,Team Lead,a263n000002CxY3,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Another identity,,0,0,1,1,0,0
0033n00002ng1g9,TM-166551,Team Member,a263n000006auMA,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Prefer not to answer,,1,0,1,1,1,0
0033n00002nfYI9,TM-166552,Team Lead,a2639000006AgZX,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,,,1,0,0,1,0,1
0033n00002nfPLg,TM-166553,Team Member,a263n000006BJKF,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Prefer not to answer,Yes,0,0,1,0,0,1
0033n00002gWHWY,TM-166555,Team Member,a263n000002D7fo,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,,Prefer not to answer,1,1,0,1,1,1
0033n00002nTiNQ,TM-166556,Team Member,a263n000006ap8j,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Female,,0,1,1,1,1,1
0033n00002gUlJC,TM-166557,Team Member,a263n000005YLip,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Another identity,,1,1,0,0,0,1
0033n00002nfzGu,TM-166558,Team Member,a2639000005izmE,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Male,,1,0,0,0,0,1
0033n00002kNCEv,TM-166559,Team Member,a263n000002D7fo,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Prefer not to answer,No,1,0,0,0,0,0
0033n00002nfx7v,TM-166560,Team Lead,a263n000006auwx,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Female,Prefer not to answer,1,1,1,1,0,1
0033n00002fbr06,TM-166561,Team Lead,a263n000005x8OF,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Female,,1,0,1,1,1,1
0033n00002nfu9g,TM-166529,Team Lead,a263n000006asse,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Prefer not to answer,,1,0,1,1,0,0
0033n00002kLAp5,TM-166530,Team Lead,a263n000006BJMf,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Another identity,Prefer not to answer,1,1,0,1,1,1
0033n00002h6isB,TM-166531,Team Member,a263n000005x8OF,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,,,1,0,0,1,1,1
0033n00002mOiAO,TM-166532,Team Member,a263n000006asse,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Another identity,Yes,1,1,0,1,0,1
0033n00002nfu27,TM-166533,Team Member,a263n000006asse,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,,,0,1,0,0,1,1
0033900002Kr5PI,TM-166534,Team Lead,a2639000005izmE,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Prefer not to answer,,1,0,0,1,0,1
0033n00002kLRrH,TM-166562,Team Lead,a263n000006BJN4,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,,No,1,0,1,0,0,0
0033n00002gWHSD,TM-166563,Team Lead,a263n000002D7fo,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Another identity,,1,1,1,1,0,1
0033n00002WIpoE,TM-166565,Team Lead,a263n000005cKVB,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Male,Yes,0,0,0,0,1,0
0033n00002mOiAx,TM-166535,Team Lead,a263n000006ap8j,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Another identity,No,1,0,0,0,0,1
0033n00002nfu9l,TM-166536,Team Member,a263n000006asse,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Male,,1,0,0,0,1,0
0033n00002c5aYg,TM-166537,Team Member,a263n000002CxY3,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,,No,0,1,1,1,1,0
0033n00002cs4II,TM-166538,Team Lead,a263n000006avyh,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Prefer not to answer,,1,1,1,1,1,0
0033n00002nTbfy,TM-166539,Team Member,a263n000002CxY3,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Another identity,Yes,0,1,1,1,1,1
0033n00002fBeml,TM-166540,Team Member,a263n000006ap8j,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Male,Yes,1,0,1,1,1,0
0033n00002nfz2E,TM-166541,Team Lead,a263n000006auMA,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Prefer not to answer,Prefer not to answer,0,0,1,1,0,1
0033n00002nfzGp,TM-166544,Team Member,a2639000005izmE,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Prefer not to answer,No,0,0,1,0,0,0
0033n00002gV0vq,TM-166545,Team Member,a263n000006avyh,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Another identity,,1,0,0,0,0,0
0033n00002WVO7s,TM-166546,Team Lead,a263n000005YLip,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Prefer not to answer,Prefer not to answer,0,1,1,0,1,1
0033n00002kNCH5,TM-166568,Team Member,a263n000002D7fo,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Male,No,1,1,0,1,0,1
0033n00002kLeKc,TM-166569,Team Member,a263n000006BJN4,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,,No,0,0,1,0,1,1
0033n00002nSHzF,TM-166570,Team Lead,a263n000006ap8Y,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Female,,1,0,0,0,1,1
0033n00002gUdW5,TM-166579,Team Member,a263n000002Cxsx,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Male,Yes,0,0,1,0,1,1
0033n00002cq7im,TM-166580,Team Lead,a263n000002Cxsx,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Prefer not to answer,No,1,1,0,0,1,0
0033n00002mOEI5,TM-166578,Team Lead,a263n000006aaRP,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Another identity,Prefer not to answer,1,0,0,1,0,0
0033n00002kKOl4,TM-166581,Team Lead,a263n000006BJMa,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Male,,0,0,1,0,1,1
0033n00002ng5AO,TM-166582,Team Member,a263n000006BJMa,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Female,No,0,0,0,0,0,0
0033n00002kKQRQ,TM-166577,Team Member,a263n000006BJMa,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,,,0,1,0,0,0,1
0033n00002nTvNE,TM-167691,Team Member,a263n000005cKVB,Ascend Medtech Accelerator powered by VentureWell and LEAP 2023,5/16/23,Male,Yes,0,0,0,0,1,0
0033n00002nTuPR,TM-168664,Team Lead,a263n000006O0gr,ASPIRE Climatetech Spring 2023,5/12/23,Male,,1,0,1,0,0,1
0033n00002h6lai,TM-166278,Team Lead,a263n000005x8PF,E-Team Stage 2 Spring 2023 Cohort,5/4/23,Female,,1,1,1,1,1,1
0033n00002h6laj,TM-166279,Team Member,a263n000005x8PF,E-Team Stage 2 Spring 2023 Cohort,5/4/23,,Prefer not to answer,1,0,0,1,1,1
0033n00002hYoIA,TM-166280,Team Lead,a263n000005x8OK,E-Team Stage 2 Spring 2023 Cohort,5/4/23,Female,No,1,0,1,0,0,1
0033n00002nTDIc,TM-166281,Team Member,a263n000005x8OK,E-Team Stage 2 Spring 2023 Cohort,5/4/23,Female,,0,0,0,1,0,0
0033n00002h7Bi1,TM-166282,Team Member,a263n000005x8OK,E-Team Stage 2 Spring 2023 Cohort,5/4/23,Prefer not to answer,Yes,1,0,1,1,1,0
0033n00002kMHv7,TM-166283,Team Lead,a263n000006BJYY,E-Team Stage 2 Spring 2023 Cohort,5/4/23,Another identity,No,0,1,0,0,1,0
0033n00002kNDRd,TM-166284,Team Member,a263n000006BJYY,E-Team Stage 2 Spring 2023 Cohort,5/4/23,Female,,0,1,0,1,1,0
0033n00002Wc3Vx,TM-166285,Team Lead,a263n000005YLiL,E-Team Stage 2 Spring 2023 Cohort,5/4/23,Another identity,Prefer not to answer,0,1,1,0,1,0
0033n00002WTs56,TM-166286,Team Member,a263n000005YLiL,E-Team Stage 2 Spring 2023 Cohort,5/4/23,Female,,1,1,1,1,0,1
0033n00002kMmPH,TM-166288,Team Lead,a263n000006BJZz,E-Team Stage 2 Spring 2023 Cohort,5/4/23,Prefer not to answer,Yes,0,1,1,1,0,0
0033n00002h6isB,TM-166289,Team Member,a263n000005x8OF,E-Team Stage 2 Spring 2023 Cohort,5/4/23,,Yes,0,0,0,1,1,0
0033n00002fbr06,TM-166290,Team Lead,a263n000005x8OF,E-Team Stage 2 Spring 2023 Cohort,5/4/23,Male,Prefer not to answer,1,1,1,1,0,1
0033n00002iUzC1,TM-166291,Team Member,a263n000006BJaJ,E-Team Stage 2 Spring 2023 Cohort,5/4/23,Female,,0,1,1,0,0,0
0033n00002kNINO,TM-166292,Team Lead,a263n000006BJaJ,E-Team Stage 2 Spring 2023 Cohort,5/4/23,Female,,0,0,1,0,0,1
0033n00002nUch0,TM-167099,Team Member,a263n000006BJaJ,E-Team Stage 2 Spring 2023 Cohort,4/25/23,Female,Prefer not to answer,1,0,1,0,0,0
0033n00002h8dfS,TM-165554,Team Lead,a263n000005x8jV,E-Team Stage 1 Spring 2023 Cohort,4/20/23,Male,Yes,0,0,0,0,1,1
0033n00002nTDep,TM-165504,Team Member,a263n000006BJZ3,E-Team Stage 1 Spring 2023 Cohort,4/20/23,Another identity,Yes,1,0,1,0,1,0
0033n00002nTDfY,TM-165597,Team Member,a263n000006Np1P,E-Team Stage 1 Spring 2023 Cohort,4/20/23,,Prefer not to answer,1,0,1,0,0,0
0033n00002nhLR7,TM-165567,Team Member,a263n000006Np1A,E-Team Stage 1 Spring 2023 Cohort,4/20/23,Male,No,1,1,0,0,1,0
0033n00002nhJY6,TM-165555,Team Member,a263n000005x8jV,E-Team Stage 1 Spring 2023 Cohort,4/20/23,Another identity,No,1,0,1,1,1,0
0033n00002nRT8t,TM-165218,Team Lead,a263n000006aakP,E-Team Stage 1 Spring 2023 Cohort,4/20/23,Another identity,Yes,0,0,1,1,0,0
0033n00002nS2jN,TM-165352,Team Member,a263n000006Nk9Y,E-Team Stage 1 Spring 2023 Cohort,4/20/23,Prefer not to answer,No,0,0,1,1,0,0
0033n00002nTDeB,TM-165562,Team Lead,a263n000006Np1A,E-Team Stage 1 Spring 2023 Cohort,4/20/23,Male,Prefer not to answer,1,1,0,0,0,0
0033n00002nSbEj,TM-165560,Team Lead,a263n000006aaSg,E-Team Stage 1 Spring 2023 Cohort,4/20/23,Male,No,0,1,1,1,0,0
0033n00002mNLeT,TM-165566,Team Member,a263n000005x8jV,E-Team Stage 1 Spring 2023 Cohort,4/20/23,Prefer not to answer,Yes,1,0,0,1,0,1
0033n00002mQIfT,TM-165304,Team Member,a263n000006Nk9Y,E-Team Stage 1 Spring 2023 Cohort,4/20/23,Another identity,Yes,0,0,1,0,0,0
0033n00002fFDc0,TM-165216,Team Lead,a263n000005x8hZ,E-Team Stage 1 Spring 2023 Cohort,4/20/23,,Prefer not to answer,1,0,1,1,1,0
0033n00002h8tAf,TM-165217,Team Member,a263n000005x8hZ,E-Team Stage 1 Spring 2023 Cohort,4/20/23,Male,Prefer not to answer,1,1,0,1,0,1
0033n00002nRpUv,TM-165299,Team Lead,a263n000006Nk9Y,E-Team Stage 1 Spring 2023 Cohort,4/20/23,,No,0,1,1,0,1,0
0033n00002kN8v5,TM-165613,Team Member,a263n000006Np0g,E-Team Stage 1 Spring 2023 Cohort,4/20/23,Male,Prefer not to answer,1,0,0,0,1,0
0033n00002kMmDk,TM-165559,Team Lead,a263n000006BJZp,E-Team Stage 1 Spring 2023 Cohort,4/20/23,Male,,0,1,0,1,1,0
0033n00002nekQU,TM-165558,Team Member,a263n000006aaSg,E-Team Stage 1 Spring 2023 Cohort,4/20/23,Male,,0,1,0,1,1,1
